key,created,first_implementation_timestamp,in_scope_15_sep,quarter,implementation_duration_hours,implementation_duration_days,included_on_hold_duration_hours,included_on_hold_duration_days,calculated_implementation_lead_time_hours,calculated_implementation_lead_time_days,jira_display_value,included_status_rows,notes
QBR-1001,2024-09-10 16:52:00,2024-09-20 19:09:13,False,24Q3,2069.6959,86.2373,0.0,0.0,2069.6959,86.2373,86d 5h 41m,2,2 Implementation stints summed
QBR-1003,2024-09-10 16:54:00,2024-09-18 16:37:27,False,24Q3,101.7784,4.2408,0.0,0.0,101.7784,4.2408,4d 5h 46m,2,2 Implementation stints summed
QBR-1005,2024-09-10 16:58:00,2024-09-18 16:31:56,False,24Q3,1822.9856,75.9577,0.0,0.0,1822.9856,75.9577,75d 22h 59m,1,
QBR-1006,2024-09-10 17:02:00,2024-09-18 16:31:01,False,24Q3,6837.0658,284.8777,0.0,0.0,6837.0658,284.8777,284d 21h 3m,2,2 Implementation stints summed
QBR-1007,2024-09-10 17:17:00,2024-09-20 14:21:36,False,24Q3,2067.6295,86.1512,19.4869,0.812,2087.1164,86.9632,86d 3h 37m,3,2 Implementation stints summed
QBR-1008,2024-09-10 17:28:00,2024-09-17 22:21:39,False,24Q3,68.4505,2.8521,0.0,0.0,68.4505,2.8521,2d 20h 27m,4,4 Implementation stints summed
QBR-1010,2024-09-10 17:33:00,2024-09-17 22:21:45,False,24Q3,207.5222,8.6468,0.0,0.0,207.5222,8.6468,8d 15h 31m,3,3 Implementation stints summed
QBR-1012,2024-09-10 17:42:00,2024-09-17 22:20:50,False,24Q3,0.0011,0.0,0.0,0.0,0.0011,0.0,0d 0h 0m,1,
QBR-1014,2024-09-10 17:50:00,2024-09-10 17:59:14,False,24Q3,0.0483,0.002,0.0,0.0,0.0483,0.002,0d 0h 2m,2,2 Implementation stints summed
QBR-1015,2024-09-10 17:55:00,2024-09-24 20:37:16,False,24Q3,4604.9417,191.8726,0.0,0.0,4604.9417,191.8726,191d 20h 56m,1,
QBR-1016,2024-09-10 18:00:00,2024-09-23 09:29:46,False,24Q3,2019.9786,84.1658,0.0,0.0,2019.9786,84.1658,84d 3h 58m,1,
QBR-1021,2024-09-10 18:07:00,2024-09-18 10:29:30,False,24Q3,34.3564,1.4315,0.0,0.0,34.3564,1.4315,1d 10h 21m,2,2 Implementation stints summed
QBR-1022,2024-09-10 18:07:00,2024-09-20 15:21:50,False,24Q3,2066.6131,86.1089,19.4969,0.8124,2086.11,86.9213,86d 2h 36m,3,2 Implementation stints summed
QBR-1024,2024-09-10 18:11:00,2024-09-17 21:19:53,False,24Q3,41.2147,1.7173,0.0,0.0,41.2147,1.7173,1d 17h 12m,1,
QBR-1027,2024-09-10 18:17:00,2024-09-17 22:21:56,False,24Q3,12.0936,0.5039,0.0,0.0,12.0936,0.5039,0d 12h 5m,1,
QBR-1029,2024-09-10 18:24:00,2024-09-17 21:19:58,False,24Q3,2183.1736,90.9656,0.0,0.0,2183.1736,90.9656,90d 23h 10m,2,2 Implementation stints summed
QBR-1032,2024-09-10 18:37:00,2024-09-18 16:53:09,False,24Q3,1033.4881,43.062,0.0,0.0,1033.4881,43.062,43d 1h 29m,2,2 Implementation stints summed
QBR-1036,2024-09-10 18:50:00,2024-09-17 21:20:03,False,24Q3,13.1347,0.5473,7.7836,0.3243,20.9183,0.8716,0d 13h 8m,2,
QBR-1038,2024-09-10 20:24:00,2024-12-05 16:57:26,False,24Q4,266.7389,11.1141,0.0,0.0,266.7389,11.1141,11d 2h 44m,1,
QBR-1040,2024-09-11 12:50:00,2024-10-22 12:19:30,False,24Q4,3632.8936,151.3706,0.0253,0.0011,3632.9189,151.3716,151d 8h 53m,2,
QBR-1053,2024-09-11 16:45:00,2024-10-22 12:19:20,False,24Q4,3632.9233,151.3718,0.0,0.0,3632.9233,151.3718,151d 8h 55m,1,
QBR-1055,2024-09-11 17:03:00,2024-12-12 16:11:29,False,24Q4,2402.6456,100.1102,0.0,0.0,2402.6456,100.1102,100d 2h 38m,1,
QBR-1057,2024-09-11 18:02:00,2024-11-08 12:01:46,False,24Q4,749.2697,31.2196,0.0,0.0,749.2697,31.2196,31d 5h 16m,1,
QBR-1064,2024-09-11 18:44:00,2024-12-12 10:51:46,False,24Q4,2410.3492,100.4312,10148.0772,422.8365,12558.4264,523.2678,100d 10h 20m,2,
QBR-1070,2024-09-11 18:51:00,2024-11-08 12:01:33,False,24Q4,3556.2636,148.1776,0.0,0.0,3556.2636,148.1776,148d 4h 15m,1,
QBR-1079,2024-09-13 18:21:00,2024-10-29 16:14:19,False,24Q4,3768.1747,157.0073,0.0,0.0,3768.1747,157.0073,157d 0h 10m,1,
